Category,Product Link,Product Name,Price,Quantity
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1620878252/par/articletile_569399370.html,Flespompoen,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1620878252/par/articletile_310554879.html,Pastinaak,N/A,500 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile6_copy_co_2099707433.html,Tomaten,N/A,500-g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile6_copy_co.html,Roma tomaten,N/A,750 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile_1062751172.html,Trostomaten,N/A,1 kg
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile6_copy_co_217173002.html,Cherrytomaten,0.99,250 g.
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile6_copy_co_2067823969.html,Cocktailtomaten,N/A,500 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile20_copy.html,Snoeptomaatjes,N/A,250 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile8_1546848.html,Mini pruim trostomaatjes,N/A,300 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile9.html,Rode paprika,N/A,Per stuk
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile_copy_cop.html,Puntpaprika's,N/A,2 stuks
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile13_copy_c_608918449.html,Avocado ready to eat,N/A,2 stuks
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile13_copy.html,Avocado,N/A,700 g
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile11_copy_1.html,Maïskolven,N/A,2 stuks
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile_13113806_371854717.html,Gember,N/A,Los per kg
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile14_copy.html,Spruiten,N/A,500 g.
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile_268930648.html,Mini cherry tomaten,N/A,
Groenten,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/groenten/jcr:content/par/tiles_1867965116/par/articletile_1920043089.html,Paprika-mix,N/A,3 stuks
