Category,Product Link,Product Name,Price,Quantity
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/groente/bio%2b%20biologische%20paprika%20duo/74094,Bio+ Biologische paprika duo,2.39,2 stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20handperen%20verpakt/66443,1 de Beste Handperen verpakt,1.29,1 kg
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20granny%20smith/68729,1 de Beste Granny smith,2.89,6 stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20limoenen/76205,1 de Beste Limoenen,0.99,3 Stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20mandarijnen%20verpakt/76573,1 de Beste Mandarijnen verpakt,2.39,1 kg
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20fruitsalade%20luxe/63125,1 de Beste Fruitsalade luxe,2.99,500 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20pitloze%20rode%20druiven/59970,1 de Beste Pitloze rode druiven,1.89,500 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/zespri%20kiwi%20sungold%20nieuw-zeeland/99427,Zespri kiwi sungold Nieuw-Zeeland,5.58,1 kg
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/golden%20delicious/4418,Golden delicious,1.79,1 kg (ca. 6 stuks)
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/hollandse%20elstar/4422,Hollandse Elstar,1.79,1 kg (ca. 5 stuks)
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/hollandse%20jonagold/4423,Hollandse Jonagold,1.79,1 kg (ca. 6 stuks)
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/hollandse%20doyenne%20du%20comice%20handperen/4514,Hollandse Doyenne du comice handperen,1.99,1 kg (ca. 7 stuks)
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/hollandse%20goudreinet/4518,Hollandse Goudreinet,1.79,1 kg (ca. 4 stuks)
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/stoofperen%20gieser%20wildeman/4538,Stoofperen Gieser Wildeman,1.99,1 kg (ca. 8 stuks)
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/royal%20gala/4608,Royal gala,1.79,1 kg
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/kanzi%20appelen/6091,Kanzi Appelen,3.99,1.5 kg
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/jazz%20verpakt/13073,Jazz verpakt,2.99,4 stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/pink%20lady%20verpakt/13178,Pink lady verpakt,2.99,4 stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/jonagold%20verpakt/58179,Jonagold verpakt,2.59,"Per 1,5 kilo"
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20elstar/63994,1 de Beste Elstar,2.69,"1,5 kg"
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20royal%20gala/63996,1 de Beste Royal gala,2.99,"1,5 kg"
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20golden%20delicious%20italie/68728,1 de Beste Golden delicious italie,2.49,6 stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/gezond%20tussendoortje/84300,Gezond tussendoortje,0.99,Per stuk
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/bio%2b%20bio%20handperen%20verpakt/102783,Bio+ Bio handperen verpakt,2.69,4 Stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/del%20monte%20bananen/4579,Del Monte Bananen,1.49,1 kg (ca. 5 stuks)
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/biologische%20fairtrade%20bananen/57632,Biologische fairtrade bananen,1.89,5 stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/grote%20citroen/4594,Grote citroen,0.49,Per stuk
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/minneola/44888,Minneola,2.78,1 kg (ca. 5 stuks)
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20handsinaasappelen%20verpakt/76554,1 de Beste Handsinaasappelen verpakt,2.99,2 kg
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20perssinaasappelen%20verpakt/76555,1 de Beste Perssinaasappelen verpakt,2.89,2 kg
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20citroenen%20verpakt/82672,1 de Beste Citroenen verpakt,0.99,500 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20grapefruits/99226,1 de Beste Grapefruits,2.25,4 Stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/kokosnoot/11169,Kokosnoot,1.29,Per stuk
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/grote%20mango/55252,Grote mango,1.69,Per stuk
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/avocado/57948,Avocado,1.19,Per stuk
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/eat%20me%20passiefruit/59785,Eat me Passiefruit,1.99,4 stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/groente/voordeel%20avocado/75889,Voordeel avocado,2.79,650 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/toffe%20peertjes%20stoofpeertjes/44012,Toffe Peertjes Stoofpeertjes,2.49,400 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20ananas%20stukjes/44133,1 de Beste Ananas stukjes,2.19,250 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20fruitsalade/44138,1 de Beste Fruitsalade,2.15,250 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20mango%20stukjes/44142,1 de Beste Mango stukjes,2.19,175 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20meloenmix/44145,1 de Beste Meloenmix,2.15,250 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20watermeloen%20stukjes/44147,1 de Beste Watermeloen stukjes,2.29,250 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20fruitsalade%20exotisch/75288,1 de Beste Fruitsalade exotisch,2.19,250 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20bavarois%20framboos/84690,1 de Beste Bavarois framboos,1.99,110 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20meloenmix/110356,1 de Beste Meloenmix,3.79,500 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20blauwe%20bessen/51069,1 de Beste Blauwe bessen,3.99,300 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/ananas/57713,Ananas,1.99,Per stuk
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20pitloze%20witte%20druiven/59971,1 de Beste Pitloze witte druiven,1.99,500 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20frambozen%20voordeelverpakking/60857,1 de Beste Frambozen voordeelverpakking,3.59,225 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/druiven%20los/87169,Druiven los,1.49,500 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/galia%20meloen/4582,Galia meloen,1.99,Per stuk
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/watermeloen/13057,Watermeloen,2.99,Per stuk
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/zespri%20kiwi%20green/13094,Zespri Kiwi Green,2.75,750 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/bio%2b%20kiwi%20green%20verpakt/57714,BIO+ Kiwi green verpakt,2.49,4 stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/kiwi%20green%20verpakt/66394,Kiwi green verpakt,3.99,1 kg
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/pruimen%20los/19672,Pruimen los,3.38,1 kg
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/del%20monte%20ananasschijven%20op%20sap/9109,Del Monte Ananasschijven op sap,1.55,220 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/del%20monte%20ananasblokjes%20op%20sap/9559,Del Monte Ananasblokjes op sap,1.55,230 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20ananasschijven%20op%20sap/59697,1 de Beste Ananasschijven op sap,1.74,567 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20ananasstukjes%20op%20sap/62194,1 de Beste Ananasstukjes op sap,1.18,227 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/dole%20ananasstukjes%20op%20sap/97119,Dole Ananasstukjes op sap,3.99,452 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/ocean%20spray%20cranberry%20compote/3052,Ocean Spray Cranberry compote,1.99,250 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/hak%20appelmoes%20met%20een%20vleugje%20kaneel/3109,Hak Appelmoes met een vleugje kaneel,2.15,360 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/hak%20appelmoes/3110,Hak Appelmoes,1.65,200 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/hak%20appelmoes%20extra%20kwaliteit/3111,Hak Appelmoes extra kwaliteit,1.79,355 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/hak%20appelmoes%200%25%20suiker/27099,Hak Appelmoes 0% suiker,2.35,350 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/green%20appelmoes/27179,Green Appelmoes,0.84,720 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20appelmoes%20extra%20kwaliteit/49273,1 de Beste Appelmoes extra kwaliteit,0.79,360 g
Fruitconserven ,/boodschappen/aardappelen-groente-fruit/fruitconserven/1%20de%20beste%20appelmoes%200%25%20toegevoegde%20suikers/49488,1 de Beste Appelmoes 0% toegevoegde suikers,0.98,360 g
