product_name,product_price,product_link,product_quantity
BEYBABA TUZLU KABAK,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/beybaba-tuzlu-kabak-200g_8692888603705,200G
BIBERON ATLI,1.25,https://anamarket.uwbuurtwinkel.nl/product/en/biberon-atli-70gr_4012340001025,70GR
BIBERON KOLALI,1.226,https://anamarket.uwbuurtwinkel.nl/product/en/biberon-kolali-100gr_4012340000240,100GR
BIEFSTUK RUND,13.99,https://anamarket.uwbuurtwinkel.nl/product/en/biefstuk-rund-p-kg_8025,P/KG
BILLUR TUZ MET JODIUM,0.99,https://anamarket.uwbuurtwinkel.nl/product/en/billur-tuz-met-jodium-125g_8690771130123,125G
BILLUR TUZ MET JODIUM ,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/billur-tuz-met-jodium-500g_8690771130109,500G
BILLUR TUZ ZAK,1.19,https://anamarket.uwbuurtwinkel.nl/product/en/billur-tuz-zak-750g_8690771120209,750G
BILLUR TUZ ZONDER JODIUM,1.49,https://anamarket.uwbuurtwinkel.nl/product/en/billur-tuz-zonder-jodium-250g_8690771120506,250G
BILLUR ZOUT MET JODIUM,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/billur-zout-met-jodium-500g_8690771130147,500G
BINGO YUMUSATICI MAVI,4.49,https://anamarket.uwbuurtwinkel.nl/product/en/bingo-yumusatici-mavi-1440ml_8690536923694,1440ML
BINGO YUMUSATICI PEMBE,4.49,https://anamarket.uwbuurtwinkel.nl/product/en/bingo-yumusatici-pembe-1440ml_8690536903641,1440ML
BISKREM APPEL,1.49,https://anamarket.uwbuurtwinkel.nl/product/en/biskrem-appel-160g_5941664008832,160G
BISKREM RUBY&CHOCOLADE,0.69,https://anamarket.uwbuurtwinkel.nl/product/en/biskrem-ruby-chocolade-100g_8690504115861,100G
BIZIM KIP BOUILLON,2.99,https://anamarket.uwbuurtwinkel.nl/product/en/bizim-kip-bouillon-240g_8690504644897,240G
BLED ZWART OLIJF ZONDER,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/bled-zwart-olijf-zonder-400g_5425017940104,400G
BM KEMIK SUYU,1.29,https://anamarket.uwbuurtwinkel.nl/product/en/bm-kemik-suyu-120g_8682005310210,120G
BM KIP BOUILLON,1.49,https://anamarket.uwbuurtwinkel.nl/product/en/bm-kip-bouillon-120g_8690504644880,120G
BM VLEES BOUILLON,2.89,https://anamarket.uwbuurtwinkel.nl/product/en/bm-vlees-bouillon-240g_8690504644866,240G
BOSNA RUNDROOKWORST,5.79,https://anamarket.uwbuurtwinkel.nl/product/en/bosna-rundrookworst-450g_3830042432500,450G
BRAVO TOSYA PIRINC,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/bravo-tosya-pirinc-1kg_8716754030065,1KG
BRAVO TOSYA PIRINC,6.99,https://anamarket.uwbuurtwinkel.nl/product/en/bravo-tosya-pirinc-2kg_8716754030102,2KG
BRAVO TOSYA PIRINC,12.89,https://anamarket.uwbuurtwinkel.nl/product/en/bravo-tosya-pirinc-5kg_8716754030072,5KG
BREAD STICKS WITH SESAME,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/bread-sticks-with-sesame-400g_8719992654406,400G
BROOKE BOND RED LABEL,4.99,https://anamarket.uwbuurtwinkel.nl/product/en/brooke-bond-red-label-450g_8901030094774,450G
BROOKE BOND RED LABEL,9.99,https://anamarket.uwbuurtwinkel.nl/product/en/brooke-bond-red-label-900g_8901030094781,900G
BRUNSWICK SARDINES,1.69,https://anamarket.uwbuurtwinkel.nl/product/en/brunswick-sardines-106g_066613037017,106G
BULDAK GROEN,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/buldak-groen-140g_8801073113947,140G
CALYPSO,2.99,https://anamarket.uwbuurtwinkel.nl/product/en/calypso-473ml_079581184034,473ML
CALYPSO CUMCUMBER,2.99,https://anamarket.uwbuurtwinkel.nl/product/en/calypso-cumcumber-473ml_079581185055,473ML
CAMLICA CITROEN,1.29,https://anamarket.uwbuurtwinkel.nl/product/en/camlica-citroen-1-5l_8690504519027,"1,5L"
CAMLICA GAZOZ,1.49,https://anamarket.uwbuurtwinkel.nl/product/en/camlica-gazoz-1-5l_8690504525172,"1,5L"
CAMLICA SINAAS,1.29,https://anamarket.uwbuurtwinkel.nl/product/en/camlica-sinaas-1-5l_8690504519096,"1,5L"
CAPRI-SUN FAIRY,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/capri-sun-fairy-10x_4000177170717,10X
CAPSI HARISSA,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/capsi-harissa-200g_8710161003094,200G
CAPSI SRIRACHA SAUS HOT,1.49,https://anamarket.uwbuurtwinkel.nl/product/en/capsi-sriracha-saus-hot-500ml_8710161020220,500ML
CAPSI SWEET CHILLI SAUS,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/capsi-sweet-chilli-saus-500ml_8710161020206,500ML
CARLI PEPER,1.69,https://anamarket.uwbuurtwinkel.nl/product/en/carli-peper-zak_8680014050028,ZAK
CASAMAYAR POMPOENPITTEN,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/casamayar-pompoenpitten-400g_8425408238534,400G
CASAMAYOR MAIS,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/casamayor-mais-400g_8425408220539,400G
CASAMAYOR MAIS BBQ,2.19,https://anamarket.uwbuurtwinkel.nl/product/en/casamayor-mais-bbq-400g_8425408221512,400G
CASAMAYOR PIT ZONDER,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/casamayor-pit-zonder-800g_8425408208520,800G
CASAMAYOR PIT ZOUT,2.89,https://anamarket.uwbuurtwinkel.nl/product/en/casamayor-pit-zout-400g_8425408210523,400G
CAYKUR DEMLIK POSET,4.69,https://anamarket.uwbuurtwinkel.nl/product/en/caykur-demlik-poset-200g_8690105000306,200G
CAYKUR FILIZ,7.99,https://anamarket.uwbuurtwinkel.nl/product/en/caykur-filiz-1kg_8690105004045,1KG
CAYKUR FILIZ,3.99,https://anamarket.uwbuurtwinkel.nl/product/en/caykur-filiz-500g_8690105003703,500G
CAYKUR RIZE,8.49,https://anamarket.uwbuurtwinkel.nl/product/en/caykur-rize-1kg_8690105000115,1KG
CAYKUR RIZE THEE,4.19,https://anamarket.uwbuurtwinkel.nl/product/en/caykur-rize-thee-500g_8690105000122,500G
CAYKUR THEE ZAKJES,4.99,https://anamarket.uwbuurtwinkel.nl/product/en/caykur-thee-zakjes-100x_8690105001044,100X
CAYKUR TIREBOLU CAY,2.89,https://anamarket.uwbuurtwinkel.nl/product/en/caykur-tirebolu-cay-200g_8690105005394,200G
CAYKUR TIREBOLU CAY,5.89,https://anamarket.uwbuurtwinkel.nl/product/en/caykur-tirebolu-cay-500g_8690105001105,500G
CAYKUR TOMURCUK,2.89,https://anamarket.uwbuurtwinkel.nl/product/en/caykur-tomurcuk-125g_8690105000429,125G
CAYKUR TOMURCUK,3.99,https://anamarket.uwbuurtwinkel.nl/product/en/caykur-tomurcuk-200g_8690105001709,200G
CEBEL COK IRI TANELI SIYAH,10.99,https://anamarket.uwbuurtwinkel.nl/product/en/cebel-cok-iri-taneli-siyah-1kg_8690100000875,1KG
CEBEL DOORWEEKTE OLIJVEN,8.39,https://anamarket.uwbuurtwinkel.nl/product/en/cebel-doorweekte-olijven-700g_8690100000110,700G
CEBEL IRI TANELI SIYAH,10.69,https://anamarket.uwbuurtwinkel.nl/product/en/cebel-iri-taneli-siyah-1kg_8690100000165,1KG
CEBEL KAKAOLU FINDIK KREMA,4.49,https://anamarket.uwbuurtwinkel.nl/product/en/cebel-kakaolu-findik-krema-700g_8690100600686,700G
CEBEL ORTA TANELI SIYAH,8.29,https://anamarket.uwbuurtwinkel.nl/product/en/cebel-orta-taneli-siyah-1kg_8690100001018,1KG
CEBEL SIYAH AZ TUZLU,5.49,https://anamarket.uwbuurtwinkel.nl/product/en/cebel-siyah-az-tuzlu-750g_8690100001155,750G
CEBEL ZWARTE OLIJVEN,8.39,https://anamarket.uwbuurtwinkel.nl/product/en/cebel-zwarte-olijven-750g_8690100000103,750G
CEDEVITA ORANJE OPLOSDRINK,3.99,https://anamarket.uwbuurtwinkel.nl/product/en/cedevita-oranje-oplosdrink-500g_3850322003466,500G
CEREN AMANDEL,3.79,https://anamarket.uwbuurtwinkel.nl/product/en/ceren-amandel-250g_8697420691158,250G
CEREN AMANDEL GEZOUTEN,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/ceren-amandel-gezouten-250g_8697420691172,250G
CEREN ANTEP FISTIGI,3.89,https://anamarket.uwbuurtwinkel.nl/product/en/ceren-antep-fistigi-200g_8697420690885,200G
CEREN ANTEP FISTIGI,7.19,https://anamarket.uwbuurtwinkel.nl/product/en/ceren-antep-fistigi-400g_8717931300131,400G
CEREN AYCEKIRDEGI ICI,1.69,https://anamarket.uwbuurtwinkel.nl/product/en/ceren-aycekirdegi-ici-250g_8697420695408,250G
CEREN LUXE NOTENMIX,2.99,https://anamarket.uwbuurtwinkel.nl/product/en/ceren-luxe-notenmix-200g_3700970102298,200G
