product_name,product_link,product_category,product_price,product_quantity
Jumbo Zoete Punt Paprika Mix 3 Stuks,,aardappelen_groente_fruit,2.39,stuk
Jumbo Biologische Wortelen 1KG,,aardappelen_groente_fruit,1.99,kilo
Jumbo Blokjes Zoete Aardappel 400g,,aardappelen_groente_fruit,2.54,kilo
Jumbo Gesneden Uien 300g,,aardappelen_groente_fruit,2.15,kilo
Pink Lady Biologische Appels 4 Stuks,,aardappelen_groente_fruit,3.49,stuk
Jumbo Basis Soepgroente 400g,,aardappelen_groente_fruit,1.21,kilo
Jumbo Veldsla 150g,,aardappelen_groente_fruit,2.05,kilo
Jumbo Uien 2 Stuks,,aardappelen_groente_fruit,0.69,stuk
Jumbo Bramen 250g,,aardappelen_groente_fruit,3.99,kilo
De Uitstovers Toffe Peertjes Traditionele Stoofpeer 400g,,aardappelen_groente_fruit,2.59,kilo
Jumbo Tros Cherry Tomaten 200g,,aardappelen_groente_fruit,2.39,kilo
Jumbo Gemengde Salade Fris & Knapperig 150g,,aardappelen_groente_fruit,2.59,kilo
Jumbo Rode Uien 1kg,,aardappelen_groente_fruit,1.35,kilo
Jumbo Framboos & Blauwe Bessen 300g,,aardappelen_groente_fruit,4.99,kilo
Jumbo Biologisch Fruit Peren 4 Stuks,,aardappelen_groente_fruit,2.99,stuk
Hak Bruine Bonen 370g,,aardappelen_groente_fruit,1.85,kilo
MAGGI Aardappelpuree à la Minute Naturel Voordeel 4 x 89g,,aardappelen_groente_fruit,3.79,kilo
Jumbo Asperges 530g,,aardappelen_groente_fruit,3.69,kilo
Fijnproevers Clemengold Mandarijnen 1Kg,,aardappelen_groente_fruit,2.99,kilo
Jumbo Biologisch Aardappelen Kruimig 2kg,,aardappelen_groente_fruit,3.99,kilo
Jumbo Gebroken Sperziebonen 200g,,aardappelen_groente_fruit,1.95,kilo
Jumbo Biologisch Avocado 2 Stuks,,aardappelen_groente_fruit,2.99,stuk
Jumbo Eikenbladsla Melange 200g,,aardappelen_groente_fruit,2.54,kilo
Jumbo Aubergine,,aardappelen_groente_fruit,0.85,stuk
Jumbo Biologisch Zoete Aardappel 750g,,aardappelen_groente_fruit,2.99,kilo
Hak Rode Kool met Stukjes Appel 700g,,aardappelen_groente_fruit,2.79,kilo
Jumbo Aardappelgratin met Kaasgarnering 425g,,aardappelen_groente_fruit,2.16,kilo
Jumbo Roerbakmix Champignon 400g,,aardappelen_groente_fruit,2.05,kilo
Jumbo Gesneden Uien 250g,,aardappelen_groente_fruit,2.35,kilo
Jumbo Gehakte Spinazie 750g,,aardappelen_groente_fruit,0.94,kilo
Jumbo Biologisch Ongebrande Notenmix 150g,,aardappelen_groente_fruit,3,kilo
Jumbo Biologisch Snoeptomaatjes 200g,,aardappelen_groente_fruit,2,kilo
Jumbo Groene Boeren Salade 295g,,aardappelen_groente_fruit,3.89,kilo
Jumbo Gesneden Salademix Fris & Knapperig 300g,,aardappelen_groente_fruit,1.55,kilo
Jumbo Roerbakmix Chinees 400g,,aardappelen_groente_fruit,2.27,kilo
Jumbo Roerbakmix Champignon 250g,,aardappelen_groente_fruit,1.99,kilo
Looye Honingtomaten 180g,,aardappelen_groente_fruit,3.49,kilo
Zespri Kiwifruit Organic Sungold 4 Stuks,,aardappelen_groente_fruit,4.99,stuk
Jumbo Maïskolven 2 Stuks,,aardappelen_groente_fruit,2.69,stuk
Jumbo Gesneden Snijbonen 400g,,aardappelen_groente_fruit,2.25,kilo
Jumbo Biologisch Citroen 2 Stuks,,aardappelen_groente_fruit,1.55,stuk
Jumbo Golden Delicious Appels 4 Stuks,,aardappelen_groente_fruit,1.99,stuk
Jumbo Midi Komkommer 3 Stuks,,aardappelen_groente_fruit,1.69,stuk
Jumbo Aardappelschijfjes 450g,,aardappelen_groente_fruit,0.99,kilo
Jumbo Frambozen 125g,,aardappelen_groente_fruit,2.99,kilo
Jumbo Dadels Zonder Pit 225g,,aardappelen_groente_fruit,2.2,kilo
Jumbo Biologisch Prei 400g,,aardappelen_groente_fruit,2.79,kilo
Jumbo Blauwe Bessen Biologisch 125g,,aardappelen_groente_fruit,3.49,kilo
Jumbo Sugar Snaps 250g,,aardappelen_groente_fruit,2.79,kilo
Jumbo Fijngesneden IJsbergsla 100g,,aardappelen_groente_fruit,0.94,kilo
Jumbo Fruitmix Kiwi - Aardbei Cantaloupe Druif - Appel 175g,,aardappelen_groente_fruit,2.29,kilo
Jumbo Groene Salade Rauwkost 275g,,aardappelen_groente_fruit,2.89,kilo
Jumbo Watermeloen Voordeelverpakking 325g,,aardappelen_groente_fruit,3.5,kilo
Zespri Kiwifruit Green 3 Stuks,,aardappelen_groente_fruit,1.99,stuk
Jumbo Julienne Wortel 150g,,aardappelen_groente_fruit,1.45,kilo
Jumbo Blauwe bessen 125g,,aardappelen_groente_fruit,2.49,kilo
Jumbo Krieltjes Kruidenboter Smaak 425g,,aardappelen_groente_fruit,2.59,kilo
Jumbo Mineola 1kg,,aardappelen_groente_fruit,2.99,kilo
Jumbo Biologisch Groente Little Gem 2 Stuks,,aardappelen_groente_fruit,2.29,stuk
Jumbo Peultjes 250g,,aardappelen_groente_fruit,2.79,kilo
Jumbo Kastanje Champignons 250g,,aardappelen_groente_fruit,1.59,kilo
Jumbo Gesneden IJsbergsla 200g,,aardappelen_groente_fruit,0.99,kilo
Jumbo Roerbakmix Chinees 600g,,aardappelen_groente_fruit,2.99,kilo
Jumbo Aspergetips Groen 100g,,aardappelen_groente_fruit,4.49,kilo
Jumbo Snack Worteltjes 150g,,aardappelen_groente_fruit,0.97,kilo
Jumbo Aardappelpuree 500g,,aardappelen_groente_fruit,1.99,kilo
Jumbo Wokgroente Japanse Stijl 400g,,aardappelen_groente_fruit,2.59,kilo
Jumbo Minikrieltjes 450g,,aardappelen_groente_fruit,0.95,kilo
Jumbo Wortelen 500g,,aardappelen_groente_fruit,1.09,kilo
Jumbo Blokjes Pompoen 400g,,aardappelen_groente_fruit,3.15,kilo
Jumbo Biologisch Ongebrande Pecannoten 140g,,aardappelen_groente_fruit,4.55,kilo
Jumbo Munt 40g,,aardappelen_groente_fruit,1.35,kilo
Jumbo Rode Paprika Biologisch,,aardappelen_groente_fruit,1.59,stuk
Jumbo Minikrieltjes Bourgondisch 600g,,aardappelen_groente_fruit,1.32,kilo
Hak Spinazie 330g,,aardappelen_groente_fruit,2.44,kilo
JUMBO Mini Sla Romaine Little Gem 2 Stuks,,aardappelen_groente_fruit,2.29,stuk
Jumbo Aardappel Gratin 700g,,aardappelen_groente_fruit,3.24,kilo
Jumbo Macaroni/Spaghetti Groente 250g,,aardappelen_groente_fruit,1.49,kilo
"Jumbo Vers Sap Mango, Appel & Sinaasappel 500ML",,aardappelen_groente_fruit,2.39,liter
Jumbo Passie Fruit 6 Stuks,,aardappelen_groente_fruit,3.29,stuk
Jumbo Aardappelen Kruimig 500g,,aardappelen_groente_fruit,1.15,kilo
Jumbo Zoete Puntpaprika Biologisch 2 Stuks,,aardappelen_groente_fruit,2.49,stuk
Jumbo Biologisch Ongebrande Walnoten 110g,,aardappelen_groente_fruit,2.56,kilo
Hak Sperziebonen 675g,,aardappelen_groente_fruit,2.7,kilo
Jumbo Hutspot 500g,,aardappelen_groente_fruit,1.89,kilo
Jumbo Aardappelschijfjes Spek en Ui 425g,,aardappelen_groente_fruit,2.29,kilo
Jumbo Biologische Cherrytomaten 250g,,aardappelen_groente_fruit,2.59,kilo
Jumbo Aardappelpuree Zakjes Naturel 2 x 138g,,aardappelen_groente_fruit,1.05,kilo
